Address,Lat,Long,Easting,Northing
dg14ap,55.0563,-3.599238,297942,574703
EN5 3DJ,51.65099,-0.215544,523550,196196
B15 2Th,52.453272,-1.936283,404427,283926
Dn20 8gs,53.552746,-0.485951,500403,407301
EN5 3DJ,51.65099,-0.215544,523550,196196
ca28 8jg,54.530196,-3.563175,298940,516114
sk11 6jl,53.257946,-2.122622,391917,373445
rg9,51.574474,-0.925666,474549,186725
Wc1n3jh,51.52221,-0.119924,530533,182041
RG1 5AN,51.451402,-0.958645,472458,173005
Se5 9rs,51.468357,-0.092306,532605,176102
Fy3 8nR ,53.82067,-3.016264,333195,436522
DN2 5LT,53.530742,-1.109257,459141,404156
NE63 9JJ,55.18431,-1.546602,428969,587874
ts4 3bw,54.551755,-1.214805,450885,517673
Wv100qp,52.597726,-2.095949,393598,299997
SS16 5NL,51.557686,0.450557,569975,187157
L7,53.405607,-2.947843,337084,390284
ha74lp,51.631513,-0.306631,517299,193880
Me75ny,51.378267,0.542218,577021,167424
st4 6ta,53.001397,-2.209212,386057,344918
SE5 7UD,51.474203,-0.083552,533196,176768
LS2 9LU,53.803375,-1.555716,429358,434211
HU3 2JZ,53.744412,-0.358271,508369,428810
NN10 0AE,52.292086,-0.597381,495760,266921
CM1 7ET,51.774585,0.465424,570191,211310
PL14,50.468241,-4.497783,222838,66138
BD9 6RJ,53.805882,-1.794879,413606,434418
IP33 2QZ,52.231662,0.709176,585110,262732
SS0 0RY,51.553836,0.689093,586524,187310
PE30 4ET,52.756781,0.446999,565229,320493
LS16 1PF,53.86748,-1.594899,426737,441328
MK42 9DJ,52.128848,-0.47173,504712,248939
SE18 4QH,51.479073,0.051148,542535,177563
Da2 8da,51.435061,0.258161,557060,173092
WD18 0HB,51.649051,-0.404472,510485,195678
CO4 5JL,51.909629,0.899366,599526,227427
CM20 1QX,51.771343,0.086303,544048,210133
LU4,51.909418,-0.484227,504366,224517
CM1 7ET,51.774585,0.465424,570191,211310
CB21 5EZ,52.184898,0.219056,551803,256393
L17 0BY,53.37464,-2.93295,338029,386825
WC1E 6EB,51.521529,-0.131339,529743,181945
HU3 2JZ,53.744412,-0.358271,508369,428810
b9 5pu,52.475709,-1.839082,411027,286432
dh1 5tw,54.788899,-1.592928,426275,543854
DD9 7QA,56.777698,-2.615582,362480,765294
ne3 3xt,55.006322,-1.634758,423459,568034
FY1 6JX,53.805377,-3.048983,331016,434852
RG1 5AN,51.451402,-0.958645,472458,173005
LE3 9QP,52.653683,-1.179306,455615,306533
SO40 2RZ,50.930656,-1.528807,433210,114684
SL2 4HL,51.533136,-0.575125,498930,182543
st7,53.078038,-2.270609,381969,353457
L134aw,53.407583,-2.91565,339227,390475
EH16 4SA,55.921929,-3.135095,329162,670453
Ts4 3bw,54.551755,-1.214805,450885,517673
cf14 5du,51.524884,-3.192802,317345,181337
NE15 ,55.003378,-1.773086,414613,567669
RG1 5AN,51.451402,-0.958645,472458,173005
SW10 9NH,51.484261,-0.181459,526369,177713
SL2 4BL,51.545011,-0.602615,496998,183827
ba1,51.417783,-2.35883,375144,168813
BA1 3NG,51.391665,-2.391203,372877,165920
PO305TG,50.711101,-1.300887,449458,90396
hu3,53.741789,-0.363627,508023,428510
DE22 3NE,52.910345,-1.513825,432793,334879
ne3 3xt,55.006322,-1.634758,423459,568034
DE223NE,52.910345,-1.513825,432793,334879
Rh193dz,51.135115,-0.002741,539834,139212
DN2 5LT,53.530742,-1.109257,459141,404156
BS2 8HW,51.4594,-2.596055,358685,173549
BD20 6TD,53.898015,-1.962695,402549,444650
S60,53.415259,-1.36201,442502,391128
HA8 ,51.614629,-0.277437,519364,192050
SL2 4HL,51.533136,-0.575125,498930,182543
IP4 5PD,52.056849,1.197915,619336,244656
NE11 9AD,54.953247,-1.640142,423145,562126
BS2 8HW,51.4594,-2.596055,358685,173549
SL2 4HL,51.533136,-0.575125,498930,182543
SL2 4HL,51.533136,-0.575125,498930,182543
PR7 1PP,53.665548,-2.635751,358090,418973
rg15an,51.451402,-0.958645,472458,173005
EH3,55.95836,-3.203786,324940,674580
M13 9WL,53.461426,-2.224708,385178,396099
SL2 4HL,51.533136,-0.575125,498930,182543
CV11,52.512415,-1.443033,437896,290648
M13 9WL,53.461426,-2.224708,385178,396099
SL2 4HL,51.533136,-0.575125,498930,182543
Tq2 7bz,50.478519,-3.558683,289502,65460
hu3,53.741789,-0.363627,508023,428510
sl2 4hl ,51.533136,-0.575125,498930,182543
sl4,51.460677,-0.648235,494008,174389
SW9 9NT,51.466787,-0.122649,530502,175873
L7 8XP,53.409506,-2.964809,335962,390732
ws2,52.594942,-2.008731,399506,299683
wv10 0qp,52.597726,-2.095949,393598,299997
RG1 5AN,51.451402,-0.958645,472458,173005
OX3 7LE,51.750332,-1.214709,454308,206029
sl24hl,51.533136,-0.575125,498930,182543
pl6 8dh,50.41672,-4.113684,249930,59563
Fy3 8nr ,53.82067,-3.016264,333195,436522
sw17 0qt ,51.426727,-0.175746,526925,171325
IG3 8XJ,51.577993,0.110487,546338,188680
RG1 5AN,51.451402,-0.958645,472458,173005
DE13 0RB,52.817179,-1.655528,423313,324460
SL24HL,51.533136,-0.575125,498930,182543
NE31 1AT,54.984117,-1.509466,431490,565612
UB8 3NN,51.525516,-0.460905,506870,181856
PE21 9QS,52.991023,-0.009794,533685,345596
BS10 5NB,51.497333,-2.592949,358935,177766
SL2 4HL,51.533136,-0.575125,498930,182543
SE13 6Lh,51.45433,-0.017051,537874,174681
So41,50.772884,-1.555929,431409,97127
IP45PD,52.056849,1.197915,619336,244656
RG1 5AN,51.451402,-0.958645,472458,173005
EC1A,51.518249,-0.102025,531786,181633
RG24 9NA,51.280615,-1.109875,462180,153873
SA612PZ,51.812716,-4.965072,195710,216834
NW3 2QG,51.553224,-0.165324,527297,185410
RG1 5AN,51.451402,-0.958645,472458,173005
Ls1 3EX,53.801445,-1.551743,429621,433998
CO45JL,51.909629,0.899366,599526,227427
b15 2wb,52.449823,-1.942145,404029,283542
TR1 3LJ,50.266686,-5.09145,179782,45318
RG1 5AN,51.451402,-0.958645,472458,173005
KT6 6EZ,51.391074,-0.299655,518403,167153
W12 0HS,51.516523,-0.236658,522450,181207
SO22 5DG,51.061375,-1.330959,446982,129328
BN2 5BE,50.819468,-0.118177,532654,103901
